Id,author,title,editor,year,price,category
1,ALEXIE Sherman,Indian blues,10/18,1999,,6
2,ARRABAL,Fêtes et rites de la confusion,10/18,1974,,6
3,ARRABAL,Baal Babylone,10/18,1969,,6
4,BATAILLE Georges,Histoire de l'œil,10/18,1979,,6
5,BATAILLE Georges,Le bleu du ciel,10/18,1970,,6
6,BURROUGHS William S.,Nova express,10/18,1972,,6
7,BURROUGHS William S.,Junky,10/18,1988,,6
8,CLAVEL Maurice,Le pourpre de Judée,10/18,1969,,6
9,COLLECTIF Auteurs ,Que peut la littérature ?,10/18,1965,,6
10,HAMPÂTÉ BÂ Amadou,L'étrange destin de Wangrin,10/18,1979,,6
11,HANDKE Peter,Bienvenue au conseil d'administration,10/18,1993,,6
12,HETI Sheila,Les fables du milieu,10/18,2003,,6
13,LEE Nancy,Dead girls,10/18,2008,,6
14,ORWELL George,Dans la dèche à Paris et à Londres,10/18,2001,,6
15,PESSOA Fernando,Lisbonne,10/18,1997,,6
16,VÂTSYÂYANA,Les Kâma-Sûtra,10/18,1998,,6
17,WILLIAMS Tennessee,Le boxeur manchot,10/18,1981,,6
18,WOJNAROWICZ David,Au bord du gouffre,10/18,2005,,6
19,BURROUGHS William S.,La machine molle,10/18,1971,,6
20,COSTA MAGNA Michèle,Les noces d'Œdipe,Actes Sud,1997,,6
21,EL ASWANY Alaa ,L'immeuble Yacoubian,Actes Sud,2006,,6
22,FROBENIUS Nikolaj,Le valet de Sade,Actes Sud,1998,,6
23,GUÉRIN Michel,La grande dispute,Actes Sud,2006,,6
24,HAMPÂTÉ BÂ Amadou,Amkoullel l'enfant peul,Actes Sud,1991,,6
25,LI Chi,Les sentinelles des blés,Actes Sud,2008,,6
26,SCHMITT Eric-Emmanuel ,Le visiteur,Actes Sud,1994,,6
27,JAMES Henry,Le dernier des Valerii,Albin Michel,1960,,6
28,MAURIAC Claude,L'alittérature contemporaine,Albin Michel,1958,,6
29,NOTHOMB Amélie,Stupeur et tremblements,Albin Michel,1999,,6
30,SCHMITT Eric-Emmanuel ,Lorsque j'étais une œuvre d'art,Albin Michel,2002,,6
31,SCHMITT Eric-Emmanuel ,Monsieur Ibrahim et les fleurs du Coran,Albin Michel,2003,,6
32,GRASILIER Léonce,Rétif de la Bretonne - inconnu,Alph. Margraff,1927,,6
33,FAULKNER William,"As l lay dying, light in august",Armand colin,1970,,6
34,FOCH A.,Introduction a la mécanique des fluides,Armand colin,1932,,6
35,SCOTT FITZGERALD Francis,The great Gatsby tender is the night,Armand colin,1969,,6
36,MANN Erika et Klaus,Fuir pour vivre,Autrement,1997,,6
37,FEUCHTWANGER Lion,Le juif Süss,Balland,1978,,6
38,DEKOBRA Maurice,Macao enfer du jeu - éd. originale exemplaire numéroté,Beaudinière,1938,,6
39,VIAN Boris,J'irai cracher sur vos tombes,Bibliothèque des succès,1980,,6
40,PAUWELS Louis,L'amour monstre,Bibliothèque mondiale,1956,,6
41,D'ESPARBÈS Georges,Le Régiment,Borel,1898,,6
42,LOUYS Pierre ,Mœurs antiques,Brodard & Taupin,1941,,6
43,ADAM Antoine,Les libertins au XVIIe siècle,Buchet Chastel,1964,,6
44,MILLER Henry,La crucifixion en rose ** Plexus,Buchet Chastel,1969,,6
45,MILLER Henry,La crucifixion en rose * Sexus,Buchet Chastel,1969,,6
46,MILLER Henry,La crucifixion en rose ** Nexus,Buchet Chastel,1969,,6
47,TRICOTEL Claude,Histoire de l'amitié Flaubert-Sand,C. D. U. et Sedes,1978,,6
48,MARIGNAC A. de,Cyclades,Castalie,1935,,6
49,BRAUTIGAN Richard,"Sucre de pastèque, la pèche à la truite en Amérique",Christian Bourgois,1973,,6
50,FANTE John,Les compagnons de la grappe,Christian Bourgois,2002,,6
51,DESANGES Paul ,Élie Faure,Clerc,1966,,6
52,AGRIPPA de NETTESHEIM Henri Corneille,"Sur la noblesse et l'excellence du sexe féminin, de sa prééminence sur l'autre sexe - 1537",Côté-femmes,1990,,6
53,CACHIN Françoise,"Gauguin ""ce malgré moi de sauvage""",Découvertes / Gallimard,1989,,6
54,BORGES Jorge Luis/CASARES Adolfo Bioy,Six problèmes pour don Isidro Parodi,Denoël,1980,,6
55,HOUDEBINE Jean-Louis,Excès de langages,Denoël,1984,,6
56,ROLLIN Dominique,Anne la bien-aimée,Denoël,1944,,6
57,Le statut de la littérature,Mélanges offerts à Bénichou Paul,Droz,1982,,6
58,BÖLL Heinrich,Die Verlorene Ehre der Katharina Blum,dtv,1987,,6
59,MAUGHAN Somerset ,The casuarina tree,Duchène,1958,,6
60,SAURA Carlos,Pajarico,Écriture,1998,,6
61,BRETON Alexandrian,Alexandrian Breton,Écrivains de toujours,1981,,6
62,CHOPIN Frédéric/SAND George,Lettres de Chopin et de George Sand (1836-1839),Edicions La Cartoixa,1940,,6
63,ALBERS R. M.,Sartre         ,Édition universitaire,1965,,6
64,ALBERS R. M.,Kafka,Édition universitaire,1960,,6
65,ERASME,Éloge de la folie - volume 8,Éditions de Cluny,1941,,6
66,CARVALHO Maria Judite de,Ces mots que l'on retient,éditions de la différence,1987,,6
67,MAÏAKOVSKI,Nuage en pantalon,Éditions de Saint-Mont,2001,,6
68,BRUNEL Patrick,"Vladimir Horowitz, le Méphisto du piano",Éditions Josette Lyon,1997,,6
69,ALBÉRS R.-M.,Michel Butor,Éditions universitaires,1964,,6
70,ESTEBAN Claude,"Janvier, février, mars",Farrago,1999,,6
