Id,author,title,editor,year,price,category
71,FAUVET Jacques,La France déchirée,Fayard,1957,,6
72,TUAL Denise,Le temps dévoré,Fayard,1980,,6
73,VAUTRIN,Le roi des ordures,Fayard,1996,,6
74,BIAGGI Vladimir,"Le nihilisme, textes choisis",Flammarion,1998,,6
75,SAN-ANTONIO,La sexualité,Fleuve noir,1971,,6
76,CAMUS Albert,La chute,Folio,1998,,6
77,CENDRAS Blaise,L'or,Folio,1994,,6
78,GIDE André,Si le grain ne meurt,Folio,1972,,6
79,PENNAC Daniel,La petite marchande de prose,Folio,1992,,6
80,BOHRINGER Richard,Le bord intime des rivières,Folio poche,1995,,6
81,BOHRINGER Richard,Le bord intime des rivières,Folio poche,1980,,6
82,CAMUS Albert,Caligula - Le malentendu,Folio poche,1972,,6
83,CÉLINE Louis-Ferdinand,Voyage au bout de la nuit,Folio poche,2002,,6
84,CENDRAS Blaise,Emmène-moi au bout du monde,Folio poche,1987,,6
85,CENDRAS Blaise,L'or,Folio poche,1996,,6
86,CHAMOISEAU Patrick,Une enfance créole - I. Antan d'enfance,Folio poche,1996,,6
87,CHAMOISEAU Patrick,Une enfance créole - II. Chemin-d'école,Folio poche,1996,,6
88,CONRAD Joseph,Typhon,Folio poche,1999,,6
89,FALLET René,Les vieux de la vieille,Folio poche,1973,,6
90,GENET Jean,Journal du voleur,Folio poche,1994,,6
91,GENET Jean,Un captif amoureux,Folio poche,2009,,6
92,GIDE André,Souvenirs de la cour d'assises,Folio poche,2016,,6
93,HAMMET Dashiell,La clé verte,Folio poche,1992,,6
94,HANDKE Peter,Le malheur indifférent,Folio poche,1989,,6
95,HANDKE Peter,La femme gauchère,Folio poche,1980,,6
96,HANDKE Peter,Histoire d'enfant,Folio poche,1990,,6
97,ROUSSEAU Jean-Jacques,Les confessions - Livres I à IV,Folio poche,1998,,6
98,SAUL John,Paradis blues,Folio poche,1990,,6
99,YOURCENAR Marguerite,Souvenirs pieux,Folio poche,1991,,6
100,YOURCENAR Marguerite,"Anna, soror",Folio poche,1991,,6
101,APOLLINAIRE Guillaume,à Philippe Pétain,France loisir,1980,,6
102,RAMONET Ignacio,"Propagandes silencieuses - Masses, télévision, cinéma",Galilée,2000,,6
103,ANDRZEJEWSKI Jerzy,Les portes du paradis,Gallimard,1961,,6
104,ARAGON Louis,Traité du style,Gallimard,1980,,6
105,ARLAND Marcel,Avons-nous vécu ?,Gallimard,1977,,6
106,ARTAUD Antonin,Œuvres complètes - IX. Les tarahumaras - Lettres de Rodez,Gallimard,1971,,6
107,ARTAUD Antonin,œuvres complètes - VII. Héliogabale ou l'anarchiste couronné - Les nouvelles révélations de l'être,Gallimard,1982,,6
108,BORGES Jorge Luis,Le livre de sable,Gallimard,1981,,6
109,BROCH Hermann,Les somnambules,Gallimard,1957,,6
110,BROCH Hermann,La mort de Virgile,Gallimard,1969,,6
111,BUTOR Michel,Degrés,Gallimard,1960,,6
112,BUTOR Michel,Matière de rêves IV - Quadruple fond,Gallimard,1981,,6
113,BUTOR Michel,Degrés,Gallimard,1978,,6
114,CALDERON DE LA BARCA Pédro,La dévotion à la croix ( A CAMUS)  E.O. Ex num,Gallimard,1953,,6
115,CAMUS Albert,Le premier homme,Gallimard,1994,,6
116,CARPELAN Bo,AXEL,Gallimard,1990,,6
117,CHAMOISEAU Patrick,Chronique des sept misères,Gallimard,1986,,6
118,CLAUDEL Paul,L'annonce faite à Marie,Gallimard,1954,,6
119,DAUMAL René,Correspondances 1 1915-1928,Gallimard,1992,,6
120,DELAY Florence,Riche et légère,Gallimard,1983,,6
121,DETIENNE Marcel,L'invention de la mythologie,Gallimard,1981,,6
122,DOS PASSOS John,Milieu de siècle,Gallimard,1971,,6
123,DURELL Lawrence,Livia ou Enterrée vive,Gallimard,1980,,6
124,ERNAUX Annie,Passion simple,Gallimard,1992,,6
125,FARGUE Léon-Paul,Dîners de lune,Gallimard,1997,,6
126,FLEUTIAUX Pierrette,Nous sommes éternels,Gallimard,1990,,6
127,GENET Jean,Journal du voleur,Gallimard,1986,,6
128,GIDE André,Perséphone - éd. originale exemplaire numéroté,Gallimard,1934,,6
129,HANDKE Peter,La femme gauchère,Gallimard,1978,,6
130,JABÈS Edmond,"El, ou le dernier Livre",Gallimard,1973,,6
131,PAULHAN Jean ,Les causes célèbres,Gallimard,1999,,6
132,KUNDÉRA Milan,L’immortalité,Gallimard,1990,,6
133,LÉAUTAUD Paul,Entretiens avec Robert Mallet,Gallimard,1951,,6
134,LÉAUTAUD Paul,Le petit ami,Gallimard,1997,,6
135,MALLET-JORIS Françoise,Le rire de Laura,Gallimard,1985,,6
136,MALRAUX André,L(Homme précaire,Gallimard,1977,,6
137,MALRAUX André,Antimémoires *,Gallimard,1967,,6
138,MANDIARGUES André Pieyre de,"Le désordre de la mémoire, entretiens avec Francine Mallet",Gallimard,1975,,6
139,MISHIMA Yukio,Cinq Nô modernes,Gallimard,1987,,6
140,MONTAGUE Anne,La poupée-massacre,Gallimard,1968,,6
141,MONTHERLANT Henry de,Le chaos et la nuit,Gallimard,1963,,6
142,MORANTE Elsa,Aracoeli,Gallimard,1984,,6
143,MURDOCH Iris,"Amour profane, amour sacré",Gallimard,1978,,6
144,ONETI Juan Carlos,La fiancée volée,Gallimard,1987,,6
145,PAULHAN Jean,Le guerrier appliqué - Progrès en amour assez lents - Lalie,Gallimard,1982,,6
146,PAZ Octavio,Le labyrinthe de la solitude - Critique de la pyramide,Gallimard,1972,,6
147,PENNAC Daniel,Comme un roman,Gallimard,1992,,6
148,PENNAC Daniel,La petite marchande de prose,Gallimard,1990,,6
149,PONTALIS Jean-Bertrand,Un homme disparaît,Gallimard,1995,,6
150,RHEIMS Maurice,Le Saint Office,Gallimard,1983,,6
151,RILKE Rainer Maria/ANDREAS-SALOMÉ Lou,Correspondance,Gallimard,1989,,6
152,ROLLIN Dominique,Trente ans d'amour fou,Gallimard,1988,,6
153,ROY Claude,L'ami lointain,Gallimard,1987,,6
154,SAINT-EXUPÉRY Antoine de,Lettre à un otage,Gallimard,1962,,6
155,SANSAL Boualem,"Le village de l'allemand, ou le journal des frères Chiller",Gallimard,2008,,6
156,SIJIE Dai,Balzac et la petite tailleuse chinoise,Gallimard,2000,,6
157,STEINER George,Les antigones,Gallimard,1986,,6
158,TARDIEU Jean,Figures,Gallimard,1944,,6
159,WHITE Edmund,Jean Genet,Gallimard,1993,,6
160,FOU Chen,Récits d'une vie fugitive (Mémoires d'un lettré pauvre),Gallimard / Unesco,1986,,6
161,ANDRÉAS-SALOMÉ Lou,Friedrich Nietzsche à travers ses œuvres,Grasset,2000,,6
162,DE BOISDEFFRE Pierre,L'Église au milieu du gué,Grasset,1987,,6
163,LABORIT Henri,La vie antérieure,Grasset,1989,,6
164,LYOTARD Jean-François,Signé Malraux,Grasset,1996,,6
165,MAALOUF Amin,Le rocher de Tanios,Grasset,1993,,6
166,RILKE Rainer-Maria,Lettres à un jeune poète,Grasset,1971,,6
167,TANGUAY Daniel,"Léo Strauss, une biographie intellectuelles",Grasset,2003,,6
168,ZWEIG Stefan,La pitié dangereuse,Grasset,1994,,6
169,AUTEURS COLLECTIF Auteurs,Camus,Hachette,1966,,6
170,FLORIOT René,"Deux femmes en cour d'assises, Madame Steinheil et Madame Caillaux",Hachette,1966,,6
171,GRAMSCI Antonio,Letters from prison,Harper & Roy,1980,,6
172,Revue trimestrielle consacrée à la littérature française des XIXe et XXe siècles,Histoires Littéraires,Histoires littéraires & Du Lérot,2001,,6
173,FOUCAULD Charles de,Le père Charles de Jésus,Imprimerie des Pères Blancs Maison-Carrée,1936,,6
174,COLLECTIF Auteurs ,De Pétrarque à Descartes XLVI. Les formes brèves de la prose et le discours discontinue (XVIe-XVIIe siècles),J. Vrin,1984,,6
175,Ravages - n°5,Sale race,JBZ & Cie,2011,,6
176,MAALOUF Amin,Samarcande,JcLattès,1988,,6
177,MAALOUF Amin,Léon l'Africain,JcLattès,1996,,6
178,SADE D. A. F. de,Les crimes de l'amour,Jean-Jacques Pauvert,1961,,6
179,COLLECTIF Auteurs ,Positives liaisons - Correspondance des auteurs 1952-1958,Jean-Michel Place,2000,,6
180,BEAUD Michel,Le ministre contre l'université,Jérôme Martineau,1971,,6
181,NOURRISSIER François,Les chiens à fouetter,Julliard,1956,,6
182,MOUREAU François,"De Gherardi à Watteau, présence d'Arlequin sous Louis XIV",Klincksieck,1992,,6
183,GUYARD Marius-François,"Recherches Claudéliennes - Autour des ""Cind Grandes Odes""",Klincksieck ,1963,,6
184,BRECHT Bertold,"Les arts et la révolution - Notes sur le travail littéraire, articles sur la littérature",L'Arche,1970,,6
185,POULAIN Elfie,Franz Kafka : l'enfer du sujet,L'Harmattan,2000,,6
186,COLLECTIF Auteurs ,Samuel Beckett,L'Herne,1985,,6
187,DEVAUX Pierre,Le livre des Darons sacrés,L'humour des temps,1960,,6
188,BOUKHOBZA Noria,"Les femmes dans l'ombre du jour, histoires d'une famille entre l'Algérie et la France",L'Hydre,2002,,6
189,Le Monde,Entretiens avec Le Monde - 4. Civilisations,La Découverte,1984,,6
190,Le Monde,Entretiens avec Le Monde - 3. Idées contemporaines,La Découverte,1984,,6
191,MALRAUX André,Les voix du silence,La galerie de la Pléiade,1951,,6
192,MAC ORLAN Pierre,Le chant de l'équipage,La Guilde du livre,1954,,6
193,MONTHERLANT Henry de,Carnets XXIX à XXXV - du 19 février 1935 au 11 janvier 1939 - éd. originale exemplaire numéroté,La table ronde,1947,,6
194,MORELLE Paul,Un nouveau cadavre Aragon,La table ronde,1984,,6
195,HOSKYNS Barney,San Francisco 1965-1970 Les années psychédéliques,Le castor astral,2008,,6
196,VANEIGEM Raoul,"Le Chevalier, la Dame, le Diable et la mort",Le cherche midi,2003,,6
197,FRÈCHES José,Les amants calligraphes,Le Club   ,2005,,6
198,CRÉBILLON Fils,Les égarements du cœur et de l'esprit ou mémoires de M. de Meilcour,Le club français du livre,1953,,6
199,QUINCEY Thomas de,Les confessions d'un opiomane anglais - De l'assassinat considéré comme un des Beaux-arts,Le club français du livre,1959,,6
200,BOUDARD Alphonse,La métamorphose des cloportes,Le livre de poche,1967,,6
201,BOULGAKOV Mikhaïl,Récit d'un jeune médecin,Le livre de poche,1994,,6
202,BUKOWSKI Charles,Avec les damnés,Le livre de poche,2014,,6
203,BURGESS Anthony,Dernières nouvelles du monde,Le livre de poche,1989,,6
204,DURELL Lawrence/MILLER Henry,Une correspondance privée,Le livre de poche,1974,,6
205,GIROUD Françoise,Lou - Histoire  d'une femme libre,Le livre de poche,2004,,6
206,MAALOUF Amin,Léon l'Africain,Le livre de poche,1992,,6
207,MAHFOUZ Naguib,Impasse des deux palais,Le livre de poche,1998,,6
208,MANN Thomas,La mort à Venise,Le livre de poche,1989,,6
209,STEVENSON R. L.,L'Île aux trésor,Le livre de poche,1972,,6
210,SÜSKIND Patrick,Le parfum,Le livre de poche,1991,,6
211,ZWEIG Stefan,"La guérison par l'esprit, Mesmer, Freud, Mary Baker-Eddy",Le livre de poche,1991,,6
212,ZWEIG Stefan,Le joueur d'échecs,Le livre de poche,1991,,6
213,COLLECTIF Auteurs ,Femme,Les éditions Hermaphrodite,2005,,6
214,HUXLEY Aldous,En marge,Les éditions universelles,1945,,6
215,PAULHAN Jean,Trois causes célèbres,Les essais,1950,,6
216,BALMAS Nerina Clerici,Un poète de XVIe siècle : Marc Papillon de Lasphrise,Librairie A. G. Nizet,1983,,6
217,LANGLOIS Ernest,"Le couronnement de Louis, chanson de geste du XIIe siècle",Librairie Honoré Champion,1969,,6
218,ANDRÉ-CARRAZ Danièle,L'expérience intérieure d'Antonin Artaud,Librairie Saint-Germain-des-près,1973,,6
219,MALOUF David,L'enfant du pays barbare,Lieu Commun,1983,,6
220,COCTEAU Jean,La difficulté d’être,Livre de poche,2013,,6
221,MAALOUF Amin,Le premier siècle après Béatrice,Livre de poche,1994,,6
222,MONTALEMBERT,"Montalembert, textes choisis par Emmanuel Mounier",LUF,1945,,6
223,COLLECTIF Auteurs ,"""4 Vertats"" - Le petit livre de l'Occitanie",Maspero Petite collection,1972,,6
224,FANON Frantz,Les damnés de la terre,Maspero Petite collection,1975,,6
225,FANON Frantz,Les damnés de la terre,Maspero Petite collection,1974,,6
226,NIZAN Paul,Les matérialistes de l'antiquité,Maspero Petite collection,1968,,6
227,AJAR Émile,Pseudo,Mercure de France,1976,,6
228,ARAGON Louis,Le con d'Irène,Mercure de France,2000,,6
229,DOUBROVSKI Serge,Pourquoi la nouvelle critique,Mercure de France,1968,,6
230,GATARD Marie,"La guerre, mon père",Mercure de France,1978,,6
231,LAFORGUE Jules,Moralités légendaires,Mercure de France,1964,,6
232,NIETZSCHE Frédéric,Le crépuscule des idoles,Mercure de France,1952,,6
233,PAINTER George D.,Marcel Proust - Les années de jeunesse (1871-1903),Mercure de France,1966,,6
234,BECKETT Samuel,Oh les beaux jours - Pas moi,Minuit,1981,,6
235,BECKETT Samuel,Tous ceux qui tombent,Minuit,2000,,6
236,BRUNSCHVICG Léon,Agenda retrouvé - 1892 et 1942 - éd. Originale,Minuit,1948,,6
237,BUTOR Michel,La modification,Minuit,1973,,6
238,DURAS Marguerite,L'amant,Minuit,1985,,6
239,L'écrit du temps,Lire écrire,Minuit,1982,,6
240,MULLER Heiner,Manuscrit de Hamlet-machine,Minuit,2003,,6
241,OSTER Christian,Loin d'Odile,Minuit,1997,,6
242,PAULHAN Jean,Petite préface à toute critique,Minuit,1951,,6
243,ROBBE-GRILLET Alain,Le voyeur,Minuit,1970,,6
244,ROBBE-GRILLET Alain,Les gommes,Minuit,1985,,6
245,ROBBE-GRILLET Alain,C'est Gradiva qui vous appelle,Minuit,2002,,6
246,ROBBE-GRILLET Alain,Le miroir qui revient,Minuit,1984,,6
247,ROBBE-GRILLET Alain,La reprise,Minuit,2001,,6
249,BECKETT Samuel,Molloy,Minuit poche,2011,,6
250,BUTOR Michel,La modification,Minuit poche,1980,,6
251,LOUYS Pierre ,Psyché,Mornay,1935,,6
252,LONDRES Albert,Le chemin de Buenos Aires (La traite des blanches),Motifs,2000,,6
253,GOMBIN Richard,Le projet révolutionnaire,Mouton,1969,,6
254,VARGAS LLOSA Mario,La guerre de la fin du monde,NRF Gallimard,1983,,6
255,NIETZSCHE,Le gai savoir,NRF Idées poche,1980,,6
256,HAHN Pierre,"Nos ancêtres les pervers, la vie des homosexuels sous le second empire",Olivier Orban,1979,,6
257,DURAS Marguerite,La douleur,P. O. L.,1985,,6
258,.,The callipyges,Pall Mall Presse,,,6
259,APOLLINAIRE Guillaume,Les onze mille verges,Jean-Jacques Pauvert              ,1987,,6
260,RÉAL Pauline,Histoire D'O,Jean-Jacques Pauvert              ,1969,,6
261,SARRAZIN Albertine,La cavale,Jean-Jacques Pauvert              ,1965,,6
262,AL-DJAWBARÎ Abd al-Rahmâne,"Le voile arraché, l'autre visage de l'Islam - I.",Phébus,1979,,6
263,KHAWAN René R.,Les mille et une nuits * Dames insignes et serviteurs galants,Phébus,1986,,6
264,KHAWAN René R.,Les mille et une nuits **** La saveur des jours,Phébus,1987,,6
265,KHAWAN René R.,Les mille et une nuits ** Les cœurs inhumains,Phébus,1986,,6
266,KHAWAN René R. ,Les mille et une nuits * Dames insignes et serviteurs galants,Phébus,1986,,6
267,GAVALDA Anna,Je voudrais que quelqu'un m'attende quelque part,Piment,2000,,6
268,BAZIN Hervé,"Charles de Foucauld, explorateur du Maroc, ermite au Sahara",Plon,1921,,6
269,BUTOR Michel,"Curriculum vitae, entretiens avec André Clavel",Plon,1996,,6
270,BARTHES Roland,Sade Fourier Loyola,Points,1980,,6
271,GATTÉGNO Jean,Lewis Carroll,Points,1984,,6
272,BAUER Charlie,Fractures d'une vie,Points actuels,1991,,6
273,ALMODOVAR Pedro,"Patty Diphusa, la Vénus des lavabos",Points poche,1999,,6
274,FANON Frantz,"Peau noire, masques blancs",Points poche,1971,,6
275,Littérature,"L'""indivision des savoirs"" en question (XVIe-XVIIIe siècle)",Presse Universitaire du Mirail,2013,,6
276,Corps écrit - n°26,La métamorphose  ,PUF,1988,,6
277,Corps écrit - n°32,L'origine,PUF,1989,,6
278,DESGRAUPES Pierre,Hors antenne,Quai Voltaire,1991,,6
279,MERLIN Pierre,L'université assassinée,Ramsay,1980,,6
280,WOODWORTH Stanley D.,William Faulkner en France (1931-1952),Revue des lettres modernes,1957,,6
281,MORANTE Elsa,Petit manifeste des communistes (sans classe ni parti) - Une lettre aux Brigades Rouges,Rivages poche,2005,,6
282,AMROUCHE Taos,L'amant imaginaire,Robert Morel,1975,,6
283,DE BOISDEFFRE Pierre,Littérature et critique,Seghers,1980,,6
284,SEGHERS Pierre,Le temps des merveilles,Seghers,1978,,6
285,CHASE J. Hadley,Pas d'orchidées pour Miss Blandish,Série noire,1949,,6
286,AUTEURS COLLECTIF Auteurs,Change,Seuil,1969,,6
287,BEAUJOUR Michel,"Miroirs d'encre, rhétorique de l'autoportrait",Seuil,1980,,6
288,BURGOS Jean,Pour une poétique de l'imaginaire,Seuil,1982,,6
289,FOUCAULD Charles de,Et la fraternité,Seuil,1958,,6
290,JANVIER Ludovic,"Becket par lui-même - ""Écrivains de toujours""",Seuil,1969,,6
291,JEANSON Francis,Sartre par lui-même,Seuil,1971,,6
292,NADEAU Maurice,Histoire du surréalisme,Seuil,1945,,6
293,ROLLIN Dominique,Le souffle,Seuil,1952,,6
294,ESQUER Gabriel,La vie algérienne de Pétrus Borel le Lycanthrope,Simoun n°15,1950,,6
295,RAMUZ C.F.,Nouvelles croquis & morceaux,Slatkine,1983,,6
296,DONNAY Maurice,Lettres à une Dame Blanche - éd. originale exemplaire numéroté,Société littéraire de France,1917,,6
297,APOLLINAIRE Guillaume,L'hérésiarque et Cie,Stock,?,,6
298,APOLLINAIRE Guillaume,L'hérésiarque,Stock,1910,,6
299,BAKOUNINE Michel,Œuvres,Stock,1980,,6
300,LA BRETONNE Restif,Sara ou la dernière aventure d'un homme de quarante-cinq ans,Stock,1984,,6
301,RODITI George,L'esprit de perfection,Stock,1986,,6
302,SEBBAR Leila,Le fou de Shérazade,Stock,1991,,6
303,WILDE Oscar,Intentions,Stock,1924,,6
304,WILDE Oscar,De profundis (texte intégral),Stock,1982,,6
305,ZWEIG Stefan,Vingt-quatre heures de la vie d'une femme,Stock,1988,,6
306,ZWEIG Stefan,La confusion des sentiments,Stock,1992,,6
307,ZWEIG Stefan,Amok,Stock,1992,,6
308,ZWEIG Stefan,Nietzsche,Stock,1931,,6
309,ZWEIG Stefan,Nietzsche,Stock,1978,,6
310,ZWEIG Stefan,Le joueur d'échecs,Stock,1992,,6
311,CAMUS Albert,"""philosophes""",Sup,1968,,6
312,BENSAÏD Daniel,"Éloge de la résistance à l'air du temps, entretien avec Philippe Petit - Conversations pour demain n°16",Textuel,1999,,6
313,CERVEZA-MARZAL Manuel,Pour un suicide des intellectuels,Textuel,2015,,6
314,LU XUN,La véridique histoire d'A-Q,Université paris VII,1975,,6
315,BUTEN Howard,"Quand j'avais cinq ans, je m'ai tué",Virgule,1981,,6
316,SONNIER Valérie,Le cahier des morts minuscules,Yellow Now,2011,,6
