id,author,title,editor,year,price,category
60,AJURIAGUERRA J.,Manuel de Psychiatrie de l'enfant,Masson,1970,,3
20,ALLARD Claude,L'enfant machine,Balland,1986,,3
45,ANCONA/BUYTENDIJK/DELL/LAIRY/NUTTIN/PIéRON,La motivation,Puf,1959,,3
93,ANDREWS T.G.,Méthodes de la psychologie Tome II,Puf,1952,,3
43,ANZIEU Didier,Les méthodes projectives,Puf,1960,,3
59,Autrement,Un enfant ?,Autrement,1981,,3
76,BADINTER Elisabeth,Fausse route,Odile Jacob,2003,,3
32,BALINT Michael,Le défaut fondamental aspects thérapeutiques de la régression,Pbp,1979,,3
94,BAUDOUIN Charles,L'âme enfantine et la psychanalyse II-Les cas III-Les méthodes,Delachaux et Niestlé,1951,,3
74,BERNARD/TROUVÉ,Sémiologie psychiatrique,Masson,1976,,3
25,BERRY BRAZELTON T.,Écoutez votre enfant,Payot,1985,,3
66,BOHM Ewald,Traité du Psychodiagnostic de Rorschach,Puf,1955,,3
88,BOLTANSKI Étienne,Pathologie médicale à l'usage des éducateurs,Puf,1968,,3
9,BONNET/GHIGLIONE/RICHARD,Traité de psychologie cognitive 1,Dunod,1989,,3
38,BOURGUINION/BYDLOWSKI,La recherche clinique en psychopathologie Perspectives critiques,Puf,1995,,3
23,BUISSON Jean,Psychologie du vieillissement et vie quotidienne,Solal,2005,,3
15,CHANGEUX Jean-Pierre,Raison et plaisir,Odile Jacob,1994,,3
82,Collectif,Pour ou contre Summerhill,Payot,1972,,3
33,COOPER David,Mort de la famille,Points,1957,,3
21,CYRULNIK Boris,Le murmure des fantômes,Odile Jacob,2002,,3
16,CYRULNIK Boris,Les vilains petits canards,Odile Jacob,2001,,3
17,CYRULNIK Boris,"Quand un enfant se donne la ""mort""",Odile Jacob,2011,,3
18,CYRULNIK Boris,Un merveilleux malheur,Odile Jacob,1996,,3
77,CYRULNIK Boris,Un merveilleux malheur,Odile Jacob,1999,,3
81,CYRULNIK Boris/MORIN Edgar,Dialogues sur la nature humaines,L'aube,2004,,3
5,DAILLY Robert/LEBOVICI/MINKOWSKI,Les déficiences intellectuelles de l'enfant,Privat,1983,,3
22,DANON-BOILEAU Laurent,L'enfant qui ne disait rien,Calmann Lévy,1995,,3
52,DECHERF Gérard,Œdipe en groupe Psychanalyse et groupes d'enfants,Clancier-Guenaud,1981,,3
68,DOLLE Jean-Marie,Pour comprendre Jean-Piaget,Privat,1985,,3
28,DOLTO Françoise,La difficulté de vivre,le livre de poche,1986,,3
1,ELSEN Claude,"Homo Eroticus, esquisse d'une phychologie de l'érotisme - les essais LXIII",Gallimard,1953,,3
57,ENJOLET Catherine,Les liens du sens Les nouveaux enfants seuls,Ramsay,2003,,3
44,FERRIÈRE AD.,L'École active,Delachaux et Niestlé,1947,,3
62,FRANçois F./FRANçois D./SABEAU-JOUANNET/SOURDOT,La syntaxe de l'enfant avant 5,Larousse,1977,,3
80,GAUTHIER Xavière,Dire nos sexualités,Galilée,1976,,3
13,GEORGE Christian,Apprendre par l'action,Puf,1983,,3
11,GHIGLIONE/RICHARD,Cours de psychologie 1,Dunod,1992,,3
12,GHIGLIONE/RICHARD,Cours de psychologie 1,Dunod,1993,,3
75,GIBELLO Bernard,L'enfant à l'intelligence troublée,Paidos/Le centurion,1989,,3
79,GOBET Jean,"Les tests démystifiés comprendre, analyser, utiliser les tests",Aubier,1976,,3
58,GREEN André,La causalité psychique entre nature et culture,Odile Jacob,1995,,3
85,GUILLAUME Paul,La psychologie de la forme,Flammarion,1948,,3
54,HEYWARD/VARIGAS,Une antipsychiatrie ?,Psychotèque,1971,,3
40,IRIGARAY Luce,J'aime à toi,Grasset,1992,,3
53,KARLIN/LAINÉ,La raison du plus fou,Editions sociales,1977,,3
27,KLEIN/RIVIERE,L'amour et la haine étude psychanalytique,Fayot,1972,,3
3,LAINÉ Pascal,La femme et ses images,Stock,1974,,3
63,LAING R.D.,La politique de la famille,Stock,1972,,3
50,LEMAY Michel,Le diagnostic en psychiatrie infantile pièges paradoxes et réalités,Fleurus,1976,,3
42,LEPLAT/CUNY,Introduction à la psychologie,Puf,1984,,3
46,LEWIN Kurt,Psychologie dynamique,Puf,1964,,3
83,MALINOWSKI B.,La sexualité et sa répression dans les sociétés primitives,Payot,1969,,3
31,MALSON Lucien,Les enfants sauvages,10/18,1987,,3
86,MALSON Lucien,Les enfants sauvages,10/18,1969,,3
10,MARCELLI Daniel,Psychopathologie de l'enfant,Masson,1993,,3
