Id,author,title,editor,year,price,category
1,Chemins du monde -  n°2,Le destin de l'individu dans le monde actuel,Éditions de Clermont,1947,,7
2,Écrivains d’hier et d’aujourd’hui N°10,Louise Labé,Seghers,1966,,7
3,La nouvelle revue française,André Breton  et le mouvement surréaliste,NRF,1967,,7
4,Les Temps Modernes,Les femme s’entêtent,Temps Modernes,1974,,7
5,Poètes d’aujourd’hui N°10,Paul Claudel,Seghers,1955,,7
6,Poètes d’aujourd’hui N°108,Georg Trakl,Seghers,1964,,7
7,Poètes d’aujourd’hui N°14 ,Rainer Maria Rilke,Seghers,1964,,7
8,Poètes d’aujourd’hui N°148,Jean Genet,Seghers,1966,,7
9,Poètes d’aujourd’hui N°150,Boris Vian,Seghers,1971,,7
10,Poètes d’aujourd’hui N°16,Desnos Robert,Seghers,1966,,7
11,Poètes d’aujourd’hui N°16,Bertolt Brecht,Seghers,1967,,7
12,Poètes d’aujourd’hui N°206,Ossip Mandelstam,Seghers,1972,,7
13,Poètes d’aujourd’hui N°210,Ezra Pound,Seghers,1973,,7
14,Poètes d’aujourd’hui N°214,Audiberti,Seghers,1973,,7
15,Poètes d’aujourd’hui N°23,Dante,Seghers,1965,,7
16,Poètes d’aujourd’hui N°29,Lewis Carroll,Seghers,1952,,7
17,Poètes d’aujourd’hui N°3,Max Jacob,Seghers,1973,,7
18,Poètes d’aujourd’hui N°3,Max Jacob,Seghers,1955,,7
19,Poètes d’aujourd’hui N°35,Saint-John Perse,Seghers,1956,,7
20,Poètes d’aujourd’hui N°40,Pablo Neruda,Seghers,1971,,7
21,Poètes d’aujourd’hui N°40,Pablo Neruda,Seghers,1972,,7
22,Poètes d’aujourd’hui N°42,Marguerite Duras,Seghers,1972,,7
23,Poètes d’aujourd’hui N°44,Guillevic,Seghers,1971,,7
24,Poètes d’aujourd’hui N°48,Pierre Jean Jouve ,Seghers,1956,,7
25,Poètes d’aujourd’hui N°48,Pierre Jean Jouve ,Seghers,1971,,7
26,Poètes d’aujourd’hui N°54,Wittgenstein,Seghers,1950,,7
27,Poètes d’aujourd’hui N°66,Antonin Artaud,Seghers,1980,,7
28,Poètes d’aujourd’hui N°7,Federico Garcia Lorca,Seghers,1949,,7
