Id,author,title,editor,year,price,category
53,PLACE Jean-Michel,Enquête poésie auprès de 250 revues littéraires,Jean-Michel Place,1979,,8
54,POE Edgar,Les poèmes d'Edgar Poe,Poésie/Gallimard,2000,,8
55,POMèS Mathilde,Anthologie de la poésie espagnole,Stock,1957,,8
56,PONCHON Raoul,La muse gaillarde,Éditions RIEDER,1939,,8
57,PRÉVERT Jacques,Histoires,Folio poche,2005,,8
58,QUENEAU Raymond,Battre la campagne,Gallimard,1968,,8
59,RAYMOND Jean,NERVAL par lui-même,Seuil,1964,,8
60,RENONDEAU G.,Anthologie de la poésie japonaise classique,Gallimard,1971,,8
61,RILKE Rainer-Maria,Le livre de la pauvreté et de la mort,Actes Sud,1989,,8
62,RIMBAUD Arthur,"Rimbaud vivant - juin 2010, n° 49",Les amis de Rimbaud,2010,,8
63,RIMBAUD Arthur,Poésies - Une saison en enfer - Illuminations,Poésie/Gallimard,1983,,8
64,ROUSSET Jean,"Anthologie de la poésie baroque française, tome 1",Armand Colin,1961,,8
65,ROY Claude,Le voyage d’automne,Gallimard,1987,,8
66,SIMON Yves/DYLAN Bob,Chanson,Vagabondages,1979,,8
67,TARDIEU Jean,Monsieur Monsieur,Gallimard,1987,,8
68,TARDIEU Jean,Comme ceci comme cela,Gallimard,1979,,8
69,TARDIEU Jean,Le fleuve caché - Poésies 1938-1961,Poésie/Gallimard,2008,,8
70,TARDIEU Jean,Margeries - Poèmes inédits 1910-1985,Poésie/Gallimard,2009,,8
71,TARDIEU Jean,La part de l'ombre - Proses 1937-1967,Poésie/Gallimard,1995,,8
72,VALÉRY Paul,Poésies,Gallimard,1966,,8
73,VERLAINE Paul,Parallèlement - Invectives ,Armand Colin,1959,,8
74,VERLAINE Paul,Poèmes choisis,Fernànd Hazan,1945,,8
75,VERLAINE Paul,Poèmes ,JcLattès,1988,,8
76,VERLAINE Paul,Fêtes galantes - Romances sans paroles - précédés de Poèmes saturniens,Poésie/Gallimard,1982,,8
77,VILLON François,Œuvres complètes,Le grand livre du mois,1992,,8
