Id,author,title,editor,year,price,category
1,VENDRYES Joseph,Le langage  intro linguistique de l’histoire,Albin Michel,1968,,12
2,CHOMSKY Noam,Le langage et la pensée,Payot,1965,,12
3,TOGEBY Knud,Structure immanente de la langue française,Larousse,1965,,12
4,TODOROV  Tzvetan,Littérature et  signification,Larousse,1967,,12
5,BENVENISTE Émile,Problèmes de linguistique générale,NRF,1969,,12
6,BUNGE Mario,Épistémologie,Maloine,1983,,12
7,COMMUNICATIONS,Sémiotique de l’espace,Seuil,1977,,12
8,CHOMSKY Noam,Aspects de la théorie syntaxique,Seuil,1971,,12
9,SAUSSURE Ferdinand de,Cours de linguistique générale,Payot,1968,,12
10,LANGAGES,La phonologie générative – déc 1967,Didier Larousse,1967,,12
11,LANGAGES,Logique et linguistique - juin 1966,Didier Larousse,1966,,12
12,LANGAGES,Psycholinguistique et grammaire générative - déc 1969,Didier Larousse,1969,,12
13,LANGAGES,Linguistique française  verbe et phrase – sept 1966,Didier Larousse,1966,,12
14,LANGAGES,Linguistique et littérature – déc 1968,Didier Larousse,1966,,12
15,LANGAGES,Le modèles en linguistique – mars 1968,Didier Larousse,1968,,12
16,LANGAGES,Pathologie du langage – mars 1967,Didier Larousse,1967,,12
17,LANGAGES,Tendances nouvelles en syntaxe générative – juin 1969,Didier Larousse,1969,,12
18,TODOROV  Tzvetan,Les genres du discours,SEUIL,1978,,12
