Id,author,title,editor,year,price,category
1,AL-BAGHDÂDÎ,Les fleurs éclatantes dans les baisers et l’accolement,Albin Michel,1973,,11
2,ATTAR Farîd-ud-Dîn,Le langage des oiseaux,Albin Michel,2005,,11
3,PLANTET Eugène,"Correspondance des Deys d’Alger avec la Cour de France 1579-1833, tome 1 (1579-1700)",Bouslama ,1981,,11
5,PLANTET Eugène,"Correspondance des Deys d’Alger avec la Cour de France 1579-1833, tome 2 (1700-1833)",Bouslama ,1981,,11
7,DJEGHLOUL Abdelkader,Élément d’histoire culturelle algérienne,Enal,1984,,11
8,MARDRUS J. C. traduit par,Le livre des mille et une nuits – tome XVI (dernier),Fasquelle,?,,11
9,MARDRUS J. C. traduit par,Le livre des mille et une nuits – tome XIV,Fasquelle,?,,11
10,MONTAGU Lady Mary,"L’islam au péril des femmes, une anglaise en Turquie au XVIIIe siècle",La Découverte,1987,,11
11,REDOUANE Joëlle,L’Orient arabe vu par les voyageurs anglais,Office des publications universitaires,1988,,11
12,GHITANY Gamal,Épître des destinées,Seuil,1993,,11
13,ADONIS,Chants de Mihyar le Damascène,Sindbad,1983,,11
18,BERQUE Jacques,L’Islam au temps du monde,Sindbad,1984,,11
19,BLOCHET M. E.,Études sur l’ésotérisme musulman,Sindbad,1979,,11
20,CLUNY Claude Michel,Dictionnaire des nouveaux cinémas arabes,Sindbad,1978,,11
22,DERMENGHEM Émile,Vie des saints musulmans,Sindbad,1983,,11
23,GABRIELI Francesco,Chroniques arabes des Croisades,Sindbad,1986,,11
24,HALLAJ,Poèmes mystiques,Sindbad,1985,,11
26,HUSSEIN Kamel,La cité inique,Sindbad,1986,,11
27,IQBAL Mohammed,La métaphysique en Perse,Sindbad,1980,,11
28,KHATIBI Abdelkebir,Le lutteur de classe à la manière taoïste,Sindbad,1976,,11
29,KHODJA H. ,Le miroir,Sindbad,1985,,11
31,MIQUEL André,Sept contes des mille et une nuits,Sindbad,1981,,11
35,MOUSSA Suleiman,Songe et mensonge de Lawrence,Sindbad,1973,,11
36,RAYMOND André,Grandes villes à l’époque ottomane,Sindbad,1985,,11
37,SAMARKAND Zahiri de ,Le livre des sept vizirs,Sindbad,1986,,11
38,SHARIATI Ali,Histoire et destinée,Sindbad,1982,,11
39,TABARI,Les Omayyades,Sindbad,1983,,11
42,THAÂLIBÎ,La beauté est le gibier des coeurs,Sindbad,1987,,11
45,ARABI Ibn,Les Soufis d'Andalousie,Sindbad,1988,,11
46,BERQUE Jacques,L'Islam au temps du monde,Sindbad,1984,,11
47,BERQUE Jacques,Les dix grandes odes arabes de l'Anté-Islam,Sindbad,1979,,11
48,Écrivains marocains,"Écrivains marocains du protectorat à 1965, anthologie",Sindbad,1974,,11
50,GIBRAN Khalil,La voix ailée,Sindbad,1982,,11
52,KANAFANI,Des hommes dans le soleil,Sindbad,1977,,11
54,MAJNÛN,L'amour poème,Sindbad,1984,,11
55,MANGHI Ibn,De la chasse,Sindbad,1984,,11
58,VALAD Sultân,Maître et disciple,Sindbad,1982,,11
59,BERNAND Marie,Le problème de la connaissance d’après le Mugni du cadi ‘Abd Al-Gabbar,SNED,1982,,11
