Id,author,title,editor,year,price,category
1,Alfred Hitchcock magazine présente :,L'antholigie du suspense - n°90 bis spécial automne 1968,Éditions OPTA,1968,,10
2,Alfred Hitchcock présente :,Histoires à ne pas lire la nuit,Robert Laffont,1963,,10
3,Alfred Hitchcock présente :,Meilleures histoires de suspense - tome II,Robert Laffont,1962,,10
4,ALLEN Woody,Mere Anarchy,Random house,2007,,10
5,ALLEN Woody,Pour en finir une bonne fois pour toutes avec la culture,Scope solar,1973,,10
6,"American cinematographer, International journal of film and video production techniques",Star Wars Return of the Jedi - Making the Flash Gordon serial - june 1983,American cinematographer,1983,,10
7,"American cinematographer, International journal of film and video production techniques",E. T. The Extra-Terrestrial - The photography of Gandhi - January 1983,American cinematographer,1983,,10
8,"American cinematographer, International journal of film and video production techniques",Photographing Barry Lindon - March 1976,American cinematographer,1976,,10
9,"American cinematographer, International journal of film and video production techniques",Frances - Special effects for Airplane II - March 1983,American cinematographer,1983,,10
10,"American cinematographer, International journal of film and video production techniques",The latest poltergeist mischief - Shenanigans with ruthless people - Moonlighting with Finnerman - July 1986,American cinematographer,1986,,10
11,"American cinematographer, International journal of film and video production techniques",Name of the game is The color of Money - A. S. C. Initiates awards - Filming Blue Velvet - November 1986,American cinematographer,1986,,10
12,"American cinematographer, International journal of film and video production techniques",Film 77 in London - September 1977,American cinematographer,1977,,10
13,"American cinematographer, International journal of film and video production techniques","Photography of Passage to India - Robby Müller and Paris, Texas - February 1985",American cinematographer,1985,,10
14,Autrement,"Europe Hollywood & retour, cinéma sous influence",Autrement,1986,,10
15,BENAYOUN Robert,"Alain Resnais arpenteur de l'imaginaire, de Hiroshima à Mélo",Ramsay poche cinéma,1986,,10
16,BERNARD Luc,"Journal d'un film : ""le clair de terre""",Pierre Belfond,1971,,10
17,BEYLIE Claude,Vers une cinémathèque idéale,Henri Veyrier,1982,,10
18,BONITZER Pascal,Le regard et la voix,10/18,1976,,10
19,Cahiers du cinéma,Cahiers du cinéma - n°287 - Avril 1978,Cahiers du cinéma,1978,,10
20,Cahiers du cinéma,Cahiers du cinéma - n°288 - Mai 1978,Cahiers du cinéma,1978,,10
21,Cahiers du cinéma,Cahiers du cinéma - n°516 - Sept 1997,Cahiers du cinéma,1997,,10
22,Cahiers du cinéma,Cahiers du cinéma - n°253 - Oct/nov 1974,Cahiers du cinéma,1974,,10
23,Caméra/stylo,Luchino Visconti - déc 1989,Caméra/stylo,1989,,10
24,CAULIEZ Armand-Jean ,Jean Renoir - n° 11,éditions universitaires - Classiques du cinéma,1962,,10
