Id,author,title,editor,year,price,category
25,CHION Michel,Écrire un scénario,Cahiers du cinéma,1985,,10
26,Cinéma,Spécial Jean Renoir - n°244 - Avril 1979,Cinéma ,1979,,10
27,Cinéma 57,n°14 à 19 - Numéro spécial : la cinéma d'animation - Relié,R.T.M.,1957,,10
28,Cinéma 57,n°20 à 23 - Numéro spécial : Le fantastique - Relié,R.T.M.,1957,,10
29,Cinéma 58,n°24 à 29 - Le guide du spectateur - Relié,R.T.M.,1958,,10
30,Cinéma 59,n°36 à 41 - Le festival de Cannes - Relié,R.T.M.,1959,,10
31,Cinéma 64,n°85,R.T.M.,1964,,10
32,Cinéma 65,n° 93,R.T.M.,1965,,10
33,Cinéma 65,Le centième numéro - n° 100,R.T.M.,1965,,10
34,Cinéma 65,Tous les films du mois - n°101,R.T.M.,1965,,10
35,Cinéma 66,Une interview de Kurosawa - n°103 ,R.T.M.,1966,,10
36,Cinéma 66,Hommage à Buster Keaton - n° 104,R.T.M.,1966,,10
37,Cinéma 67,Le guide du spectateur - n° 119,R.T.M.,1967,,10
38,Cinéma 68,Le guide du spectateur - n° 125,R.T.M.,1968,,10
39,Cinéma 68,Le guide du spectateur - n° 123,R.T.M.,1968,,10
40,Cinéma/pluriel Centre Georges Pompidou,Le cinéma australien,Centre Georges Pompidou,1991,,10
41,CinémAction,Cinémas Homosexuels - n°15 - été 1981,Papyrus éditions,1981,,10
42,CinémAction,Cinémas des régions - n°12 - automne 1980,Papyrus éditions,1980,,10
43,CinémAction,Cinéma et psychanalyse - n°50 - Janvier 1989,Corlet,1989,,10
44,CinémAction,L'écran handicapé - dec 1983,CERF,1983,,10
45,CLÉMENT Michel/PASSEK Jean-Loup,Dictionnaire du cinéma américain - tome 2 ,Larrousse,1988,,10
46,Collectif,Le musée du cinéma,Phaidon,2002,,10
47,DELMAS Jean,Une vie avec le cinéma,Jean-Michel Place,1997,,10
48,DOMECQ Jean-Philippe,"Martin Scorsese, un rève italo-américain",Hatier,1986,,10
49,DURÉAU Christian,Dictionnaire mondial des comédiens,LSP éditions,1982,,10
50,FELLINI Federico/GUERRA Tonino,"Amarcord, je me souviens",Gallimard,1974,,10
51,Festival du premier film Annonay,Leur premier film d'Orson Welles à Zhang Yi Mou,Aléas,1993,,10
52,HANDKE Peter/WENDERS Wim,Les ailes du désir,Jade-Flammarion,1988,,10
53,HERZOG Werner,"Manuel de survie, entretien avec Hervé Aubron et Emmanuel Burdeau","Capricci Cen,tre georges Pompidou",2008,,10
54,ISHAGHPOUR Youssef,"Visconti, le sens et l'image",Éditions de la différence,1984,,10
55,ISHAGHPOUR Youssef,Cinéma contemporain : de ce coté du miroir,Éditions de la différence,1986,,10
56,JULLIER Laurent,Qu'est-ce qu'un bon film,La Dispute,2002,,10
57,KANAPA Jérôme,En l'autre bord et toutes les Joséphine ne sont pas impératrices - ciné-dossier antilles,L'Harmattan,1979,,10
58,L'avant-scène - Cinéma,Drôle de drame - Bizarre ! … Bizarre § … - n°90 - mars 1969,L'avant-scène,1969,,10
59,L'avant-scène - Opéra ,"Maria Callas, ses récitals 1954-1969 - Octobre 1982",L'avant-scène,1982,,10
60,L'Herne Cinéma,Alfred Hitchcock - n°1,L'Herne,1967,,10
61,La revue du cinéma,la revue du cinéma - n°402 - fev 1985,Edilio,1985,,10
62,La revue du cinéma,Jean Cocteau - n°262 - Juin-juillet 1972,U.F.O.L.E.I.S.,1972,,10
63,La revue du cinéma,Pierre Perrault - n°256 - Janvier 1972,U.F.O.L.E.I.S.,1972,,10
64,LANDRY J. C. ,Paul Newman,Sidgwick & Jackson,1983,,10
65,LEBEL J. P.,Buster Keaton - n° 17,éditions universitaires - Classiques du cinéma,1964,,10
66,Lorrimer,Fritz Lang - n°7 ,Lorrimer,1968,,10
67,LUDA/SCHNITZER Jean,Dovjenko - n°24,éditions universitaires - Classiques du cinéma,1966,,10
68,MANDELBAUM Jacques,Anatomie d'un film,Grasset,2009,,10
69,MITRY Jean,S. M. Eisentstein - n°4,éditions universitaires - Classiques du cinéma,1956,,10
70,Positif ,Revue de cinéma - n°190 - Fev 1977,Positif,1977,,10
71,Positif ,Revue de cinéma - Nagisa Oshima - n°143 - Oct 1972,Positif,1972,,10
72,Positif ,Revue de cinéma - U.R.S.S. - Cuba - Hollywood - n°67-68 - Fev-mars 1965,Positif,1965,,10
73,Positif-Rivages,Federico Fellini-  mars 1988,Positif-Rivages,1988,,10
74,Premier Plan,Jeune cinéma tchécoslovaque - n°52,CERDOC,1969,,10
75,Premier Plan,Jeune cinéma hongrois - n°43,CERDOC,1966,,10
76,ROGER Philippe,Les pasagers de Jean-Claude Guignet,Paroles d'aube,1999,,10
77,SANDERS-BRAHMS Helma ,"Allemagne, mère blafarde",des femmes,1982,,10
78,Synopsis - ROY Jean,Citizen Kane Orson Welles n°3,Nathan,1989,,10
79,TABOULAY Camille,Mohamed Chouikh,K-films éditions,1997,,10
80,TRUCHAUD François,Nicholas Ray - n°20,éditions universitaires - Classiques du cinéma,1965,,10
81,TRUCHAUD François,Minelli - n°23,éditions universitaires - Classiques du cinéma,1966,,10
82,TULARD Jean,Dictionnaire du cinéma - Les réalisateurs,Robert Laffont,1999,,10
83,TULARD Jean,"Dictionnaire du cinéma - Acteurs, producteurs,scénaristes, techniciens",Robert Laffont,1984,,10
84,TULARD Jean,Dictionnaire du cinéma - Les réalisateurs,Robert Laffont,1987,,10
85,VILLAIN Dominique,Le montage au cinéma,Cahiers du cinéma,1991,,10
